,Rank,UGDS,INSTNM,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P10,NPT4_PUB,NPT4_PRIV,OVERALL_YR6_N,UG,10%_cut,20%_cut,50%_cut,calculation,debt,earning_average,net_tuition,graduation_rate
416,643,1414.0,Guilford College,26000,269.83601499104,32700,34900,36000,39500,0.0,23758.0,670,0.0,9,4,1,-0.16648203635828984,26000,143100,23758.0,0.4738330975954738
406,61,2436.0,Vassar College,17695,183.64416481794,39400,43300,48700,61500,0.0,27808.0,416,0.0,0,0,0,-0.1674376017293015,17695,192900,27808.0,0.17077175697865354
347,580,1591.0,Alfred University,26000,269.83601499104,34900,36900,42400,47300,0.0,19289.0,535,0.0,8,4,1,-0.16748371319532893,26000,161500,19289.0,0.33626649905719674
245,155,23202.0,University of Massachusetts-Amherst,23250,241.295667251603,44200,43400,51600,57700,21396.0,0.0,5014,0.0,2,1,0,-0.16759233910123383,23250,196900,21396.0,0.21610206016722697
425,530,1695.0,Queens University of Charlotte,25000,259.457706722154,42200,38600,43300,49400,0.0,21270.0,543,0.0,8,4,1,-0.16761698078424953,25000,173500,21270.0,0.32035398230088497
460,581,1808.0,Oklahoma Baptist University,23500,243.890244318825,33500,33500,38100,45000,0.0,18173.0,445,0.0,8,4,1,-0.1678129324704733,23500,150100,18173.0,0.2461283185840708
73,92,2098.0,Colorado College,16043,166.49919955774,35900,34200,47400,49900,0.0,25041.0,208,0.0,1,0,0,-0.168492986577858,16043,167400,25041.0,0.09914204003813155
522,444,13743.0,University of Rhode Island,23000,238.701090184382,42500,46100,50700,58400,20334.0,0.0,2454,0.0,6,3,1,-0.16862881564274165,23000,197700,20334.0,0.17856363239467365
563,538,2356.0,St. Mary's University,25996,269.794501757965,38900,40600,43200,52000,0.0,17850.0,645,0.0,8,4,1,-0.16873298551273352,25996,174700,17850.0,0.2737691001697793
600,108,27730.0,Virginia Polytechnic Institute and State University,22895,237.611367816149,50400,51900,59000,67100,20964.0,0.0,3512,0.0,1,0,0,-0.16897690651580213,22895,228400,20964.0,0.12664983772087993
580,342,1946.0,Westminster College,24492,254.18552612156,44600,41700,52200,58100,0.0,22793.0,554,0.0,5,2,1,-0.1690035526532908,24492,196600,22793.0,0.2846865364850976
