,PCIP01,PCIP04,PCIP05,PCIP26,PCIP52,PCIP09,PCIP10,PCIP11,PCIP46,PCIP13,PCIP15,PCIP14,PCIP23,PCIP19,PCIP16,PCIP51,PCIP54,PCIP43,PCIP22,PCIP24,PCIP25,PCIP27,PCIP47,PCIP29,PCIP30,PCIP03,PCIP31,PCIP12,PCIP38,PCIP40,PCIP48,PCIP42,PCIP44,PCIP41,PCIP45,PCIP39,PCIP49,PCIP50,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,income
2644,0.0,0.0,0.0,0.0816,0.1633,0.0466,0.0,0.0117,0.0,0.0787,0.0292,0.0175,0.0321,0.0,0.0117,0.2449,0.0146,0.0554,0.0,0.0,0.0,0.0204,0.0,0.0,0.0,0.0,0.035,0.0,0.0029,0.035,0.0,0.0729,0.0,0.0,0.035,0.0,0.0,0.0117,34400,32700,38500,39500,43500,188600
2650,0.0,0.0,0.0,0.037000000000000005,0.2852,0.0593,0.0,0.0,0.0,0.13699999999999998,0.0,0.0,0.0111,0.0,0.0,0.2111,0.0074,0.0556,0.0,0.0074,0.0,0.0074,0.0,0.0148,0.0185,0.0,0.0,0.0,0.0,0.0074,0.0,0.0889,0.0,0.0,0.0222,0.0037,0.0,0.0259,37000,37200,37900,42500,43900,198500
2653,0.0,0.0,0.0638,0.1113,0.0,0.0,0.0,0.0231,0.0,0.0,0.0,0.0,0.0624,0.0,0.0448,0.0,0.0366,0.0,0.0054,0.0,0.0,0.0231,0.0,0.0,0.0095,0.0475,0.0,0.0,0.0285,0.0475,0.0,0.0448,0.0,0.0,0.1615,0.0,0.0,0.2904,30700,31700,41300,42000,45500,191200
2655,0.0,0.0,0.0,0.0469,0.418,0.0508,0.0,0.0078,0.0,0.1445,0.0,0.0156,0.0156,0.0,0.0,0.0117,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0586,0.0039,0.0703,0.0,0.0039,0.0,0.0,0.0234,0.0313,0.0,0.0469,0.0,0.0,0.043,37400,37500,43900,41400,47100,207300
2656,0.0,0.0,0.0,0.0735,0.1275,0.0196,0.0,0.0172,0.0,0.0368,0.0417,0.2157,0.0123,0.0,0.0049,0.1642,0.0123,0.0637,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0098,0.0441,0.0,0.0074,0.027000000000000003,0.0,0.0245,0.0,0.0,0.0245,0.0,0.0,0.0637,59600,68300,65600,66700,72600,332800
2658,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.0116,0.0,0.0,0.0,0.0058,0.0,0.0,0.40700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698,0.1512,0.0,0.0,0.0,0.0,0.0174,41500,40800,47400,46400,53600,229700
2666,0.0397,0.0118,0.0016,0.0885,0.1877,0.0504,0.0,0.0071,0.0,0.037000000000000005,0.0,0.1451,0.0166,0.0358,0.0158,0.0886,0.0094,0.0,0.0,0.0011,0.0,0.0178,0.0,0.0,0.0016,0.0156,0.02,0.0,0.0026,0.0166,0.0,0.0496,0.0217,0.0,0.0918,0.0,0.0041,0.0225,41500,40800,47400,46400,53600,229700
2671,0.0,0.0,0.0095,0.0369,0.1327,0.1009,0.0,0.0157,0.0,0.0435,0.0238,0.0325,0.006999999999999999,0.0246,0.0054,0.3603,0.0059,0.0006,0.0,0.0406,0.0,0.0032,0.0,0.0,0.0143,0.0045,0.0213,0.0,0.0015,0.0096,0.0,0.0222,0.0134,0.0,0.0501,0.0,0.0036,0.0164,35900,36400,41200,41800,45800,201100
2675,0.0,0.0,0.0118,0.115,0.2035,0.0088,0.0,0.0088,0.0,0.0531,0.0,0.0,0.0442,0.0,0.0531,0.0206,0.0177,0.0,0.0029,0.0,0.0,0.0147,0.0,0.0,0.0265,0.0118,0.0944,0.0,0.0059,0.0295,0.0,0.0914,0.0029,0.0,0.115,0.0,0.0,0.0678,33900,37800,44300,44400,51600,212000
2676,0.0109,0.0,0.0022,0.0588,0.146,0.0697,0.0,0.0153,0.0,0.0937,0.0,0.0065,0.0436,0.0,0.0022,0.1961,0.0153,0.0,0.0,0.0,0.0,0.0153,0.0,0.0,0.0065,0.0327,0.0654,0.0,0.0022,0.0065,0.0,0.0697,0.0,0.0,0.0327,0.0,0.0,0.1089,37200,37600,41900,42700,46900,206300
